-1,2.91,4.86
0,10.99,0
1,3.55,4.86
0,23.36,0
0,11.58,0
-1,8.54,5.84
1,3.62,2.92
0,31.44,0
-1,2.85,4
1,6.89,3.75
-1,3.34,1.52
1,4.62,2.1
-1,4.47,2.04
1,4.28,1.95
-1,4.46,2.03
1,3.99,1.82
-1,4.15,1.89
1,4.29,1.95
-1,3.03,2.07
1,4.96,15.32
0,15.44,0
1,7.98,8.53
-1,2.95,1.8
0,8.15,0
1,6.1,3.82
0,5.32,0
-1,8.56,4.69
0,4.01,0
1,8.42,4.14
-1,10.1,7.54
0,0.1,0
-1,1.59,3.94
0,0.1,0
-1,2.2,2.92
0,2.93,0
1,4.07,2.34
-1,2.39,6.94
0,75.39,0
1,8.01,12.33
-1,7.34,5.73
1,3.68,2.87
-1,3.49,2.73
1,4.35,3.4
-1,3.32,2.59
1,3.78,2.95
-1,3.28,2.56
1,2.63,3.3
-1,5.47,58.54
0,34.75,0
-1,12.37,13.57
1,2.91,2.92
0,41.82,0
1,12.15,10.39
0,0.1,0
1,58.9,81.55
0,0.1,0
1,8.54,14.75
0,0.1,0
1,26.99,15.63
-1,15.31,15.16
0,3.86,0
0,14.94,0
-1,14.7,59.04
0,0.1,0
-1,7.07,8.5
1,13.64,8.68
-1,12.53,7.98
1,12.04,7.66
-1,12.16,10.22
1,11.02,26.86
0,31.74,0
-1,8.65,15.18
1,20.34,13.42
0,7.21,0
-1,24.12,16.43
1,1.11,2.92
0,0.1,0
1,5.37,5.99
-1,14.93,6.38
1,13.58,4.48
-1,13.2,4.1
1,13.75,4.78
-1,11.17,5.27
1,1.22,4.86
0,3.36,0
1,4.01,4.86
0,11.43,0
1,0.8,4.86
-1,22.91,118.36
0,0.1,0
-1,16.97,24.74
1,15.81,84.65
0,22.81,0
1,28.88,66.18
0,14.22,0
0,20.1,0
-1,7.81,31.57
1,7.19,8.94
-1,8.54,7.78
1,8.7,7.93
-1,8.83,8.05
1,11.82,14.51
-1,7.79,69.37
0,0.1,0
-1,12.65,15.6
0,10.99,0
1,2.21,4.86
0,13.73,0
1,1.54,4.86
0,6.56,0
1,13.54,4.31
0,6.8,0
-1,3.18,2.92
0,0.1,0
-1,16.18,11.42
1,11.72,12.07
0,12.31,0
1,2.73,4.86
-1,19.74,14.18
1,2.42,2.92
0,6.7,0
-1,5.82,6.72
0,0.1,0
-1,13.78,10.48
1,15,5.46
0,0.1,0
1,3.82,4.34
0,0.1,0
1,11.71,12.92
-1,15.85,9.09
0,6.3,0
1,3.51,2.92
0,17.72,0
-1,13.99,8.91
1,4.51,2.92
0,9.23,0
-1,7,5.82
1,2.64,2.92
0,38.72,0
